# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	255488
#@/user_id	1cfc3a97-9b12-4da7-829a-4855531e8276
a 	啊	c=1034 d=1.25136 t=255488
chi li 	吃裏	c=1 d=3.35748e-14 t=255488
chi luo luo 	赤裸裸	c=1 d=0.0555762 t=255488
chi ma 	尺碼	c=1 d=0.127454 t=255488
chi mian 	吃麪	c=1 d=0 t=255488
chi pang xie 	吃螃蟹	c=1 d=1 t=252687
chi pi pa 	吃枇杷	c=1 d=3.59163e-13 t=255488
chi ren jia 	吃人家	c=1 d=0 t=255488
chi rou 	吃肉	c=3 d=8.73214e-53 t=255488
chi sha 	吃啥	c=15 d=0.594526 t=255488
chi sha 	癡傻	c=1 d=1.79799e-49 t=255488
chi wan 	吃完	c=35 d=0.00069264 t=255488
chi wan cheng 	吃完成	c=1 d=0 t=255488
chi wan fan 	吃完飯	c=6 d=2.28343e-08 t=255488
chi xia 	吃下	c=1 d=1.70739e-29 t=255488
chi xu 	持續	c=6 d=1.241e-47 t=255488
chi xu ji cheng 	持續集成	c=1 d=3.2514e-48 t=255488
chi yao 	吃藥	c=5 d=1.38615e-18 t=255488
chi you 	持有	c=3 d=0.012714 t=255488
chi zao 	遲早	c=6 d=2.02344e-27 t=255488
chi zhu 	吃住	c=3 d=3.53283e-21 t=255488
chi zi 	尺子	c=2 d=4.54308e-13 t=255488
chi zi 	赤子	c=1 d=2.03747e-167 t=255488
chi zi xin 	赤子心	c=1 d=2.06827e-167 t=255488
chong 	充	c=14 d=0.379083 t=255488
chong 	崇	c=1 d=0.236928 t=255488
chong 	蟲	c=5 d=1.00549e-35 t=255488
chong 	衝	c=5 d=4.82155e-07 t=255488
chong 	重	c=24 d=0.0081887 t=255488
chong bai 	崇拜	c=1 d=7.21972e-227 t=255488
chong bu 	充不	c=1 d=1.25271e-33 t=255488
chong chong 	充充	c=1 d=2.64615e-154 t=255488
chong dang 	充當	c=2 d=6.54618e-75 t=255488
chong dian 	充電	c=5 d=6.13864e-08 t=255488
chong die 	重疊	c=2 d=4.9885e-107 t=255488
chong ding xiang 	重定向	c=21 d=1.54281e-13 t=255488
chong fa 	重發	c=6 d=1.01957e-42 t=255488
chong fu 	重複	c=82 d=0.163743 t=255488
chong gou 	重構	c=81 d=0.0136319 t=255488
chong he 	重合	c=1 d=0 t=255488
chong lai 	重來	c=2 d=1.10737e-229 t=255488
chong le 	充了	c=1 d=2.70142e-15 t=255488
chong liang 	重量	c=1 d=3.03591e-06 t=255488
chong ming 	重名	c=1 d=0 t=255488
chong ming ming 	重命名	c=17 d=2.97826e-16 t=255488
chong pai xu 	重排序	c=1 d=4.22285e-06 t=255488
chong pao 	重跑	c=3 d=0 t=255488
chong qi 	重啓	c=76 d=0.995012 t=255488
chong qi xia 	重啓下	c=3 d=2.38216e-241 t=255488
chong qian 	衝錢	c=1 d=8.44212e-38 t=255488
chong qing 	重慶	c=10 d=5.5175e-05 t=255488
chong qing huo guo 	重慶火鍋	c=1 d=0 t=255488
chong shi 	重拾	c=2 d=3.78371e-21 t=255488
chong shi 	重試	c=30 d=0.132655 t=255488
chong shi ci shu 	重拾次數	c=1 d=1.78477e-21 t=255488
chong shui 	沖水	c=2 d=2.86063e-180 t=255488
chong tian 	沖天	c=2 d=7.47198e-06 t=255488
chong tu 	衝突	c=16 d=0.000187774 t=255488
chong tui 	重推	c=1 d=3.61608e-269 t=255488
chong xie 	重寫	c=8 d=0.000265207 t=255488
chong xin 	重新	c=237 d=0.0662063 t=255488
chong yao 	重要	c=2 d=0 t=255488
chong yong 	重用	c=5 d=4.72053e-287 t=255488
chong zheng 	衝正	c=5 d=1.01588e-139 t=255488
chong zhi 	充值	c=35 d=0.0371208 t=255488
chong zhi 	重置	c=40 d=7.05168e-09 t=255488
chong zhi niao 	衝之鳥	c=1 d=6.11773e-14 t=255488
chong zhi xia 	重置下	c=1 d=9.00449e-32 t=255488
chong zhu 	蟲蛀	c=1 d=7.11897e-304 t=255488
chong zhu 	重註	c=2 d=1.54074e-46 t=255488
chong zhuang 	衝撞	c=1 d=1.24422e-100 t=255488
chong zhuang 	重裝	c=1 d=3.46153e-168 t=255488
chong zhuang le 	重裝了	c=1 d=3.47888e-167 t=255488
chong zi 	蟲子	c=2 d=0 t=255488
chong zuo 	重做	c=1 d=0 t=255488
chou 	丑	c=4 d=9.00784e-07 t=255488
chou 	愁	c=1 d=1.47039e-300 t=255488
chou 	抽	c=9 d=2.93277e-08 t=255488
chou 	稠	c=1 d=1.81521e-161 t=255488
chou 	臭	c=1 d=2.97604e-242 t=255488
chou ba 	臭吧	c=1 d=5.63038e-243 t=255488
chou chou 	臭臭	c=1 d=8.10487e-264 t=255488
chou cuo 	籌措	c=1 d=2.62947e-256 t=255488
chou hua 	籌劃	c=1 d=5.61944e-132 t=255488
chou jiang 	抽獎	c=2 d=1.12573e-11 t=255488
chou mao bing 	臭毛病	c=1 d=0 t=255488
chou qian 	籌錢	c=1 d=0 t=255488
chou qu 	抽取	c=4 d=0.0291588 t=255488
chou shi jian 	抽時間	c=2 d=6.72513e-10 t=255488
chou ti 	抽屜	c=10 d=7.15535e-63 t=255488
chou xiang 	抽象	c=4 d=0.767206 t=255488
chou xue 	抽血	c=3 d=1.52164e-19 t=255488
chou yang 	臭氧	c=1 d=6.38694e-50 t=255488
chou zhao 	丑照	c=1 d=0 t=255488
chou zhi 	抽紙	c=1 d=0.000183188 t=255488
chou zhong 	抽中	c=2 d=4.11312e-15 t=255488
chu 	出	c=96 d=0.438387 t=255488
chu 	初	c=5 d=7.73755e-05 t=255488
chu 	廚	c=1 d=6.01153e-102 t=255488
chu 	楚	c=0 d=1.20229e-227 t=255488
chu 	處	c=4 d=2.78179e-07 t=255488
chu 	除	c=26 d=2.3469e-07 t=255488
chu ba 	初八	c=1 d=0 t=255488
chu bu 	出不	c=1 d=4.46512e-74 t=255488
chu bu 	初步	c=3 d=4.87532e-41 t=255488
chu bu lai 	出不來	c=2 d=2.99806e-123 t=255488
chu bu qu 	出不去	c=1 d=4.21718e-284 t=255488
chu cang 	貯藏	c=1 d=1.12601e-102 t=255488
chu cang jian 	貯藏間	c=1 d=6.11967e-194 t=255488
chu cang shi 	儲藏室	c=1 d=0 t=255488
chu cha 	出差	c=1 d=0.00134683 t=255488
chu chai 	出差	c=10 d=0.0658748 t=255488
chu chang jia 	出廠價	c=1 d=0.186374 t=255488
chu chu 	出處	c=1 d=0.0164078 t=255488
chu chu 	處處	c=2 d=6.62254e-35 t=255488
chu ci 	初次	c=4 d=3.12138e-156 t=255488
chu ci 	除此	c=2 d=4.78512e-06 t=255488
chu cuo 	出錯	c=7 d=0.0403566 t=255488
chu de 	出的	c=3 d=7.9505e-320 t=255488
chu e 	除惡	c=7 d=1.11623e-252 t=255488
chu er fan er 	出爾反爾	c=1 d=0 t=255488
chu fa 	出發	c=1 d=7.86602e-30 t=255488
chu fa 	觸發	c=37 d=0.00280879 t=255488
chu fa qi 	觸發器	c=2 d=1.32751e-127 t=255488
chu fang 	廚房	c=35 d=1.12554e-09 t=255488
chu fang gui 	廚房貴	c=1 d=1.12039e-102 t=255488
chu fei 	除非	c=37 d=0.839457 t=255488
chu ge 	出個	c=5 d=3.97139e-19 t=255488
chu gui 	櫥櫃	c=14 d=1.89805e-186 t=255488
chu guo 	出國	c=1 d=1.15423e-11 t=255488
chu guo 	出過	c=0 d=4.18426e-46 t=255488
chu guo kuan 	出過款	c=1 d=4.20523e-45 t=255488
chu han 	出汗	c=3 d=2.05052e-07 t=255488
chu jiu 	初九	c=5 d=3.68005e-05 t=255488
chu kou 	出口	c=15 d=3.52334e-13 t=255488
chu kuai 	出快	c=1 d=7.77294e-37 t=255488
chu kuan 	出款	c=16 d=8.34533e-20 t=255488
chu la 	出拉	c=2 d=8.25139e-122 t=255488
chu lai 	出來	c=141 d=0.431423 t=255488
chu le 	出了	c=6 d=6.34988e-11 t=255488
chu le 	除了	c=49 d=0.0813454 t=255488
chu li 	處理	c=261 d=2.70004 t=255488
chu li le 	處理了	c=1 d=1.43413e-271 t=255488
chu li qi 	處理器	c=12 d=3.74533e-06 t=255488
chu li shi 	處理是	c=1 d=5.45128e-10 t=255488
chu li xia 	處理下	c=2 d=2.53926e-22 t=255488
chu li zhong 	處理中	c=7 d=7.64915e-54 t=255488
chu liu 	初六	c=2 d=8.4582e-05 t=255488
chu lu 	出路	c=1 d=3.44823e-63 t=255488
chu mai 	出賣	c=1 d=2.0429e-257 t=255488
chu men 	出門	c=2 d=7.94102e-24 t=255488
chu mo ban 	觸摸板	c=1 d=0 t=255488
chu mu jing xin 	觸目驚心	c=1 d=3.8901e-11 t=255488
chu na 	出納	c=42 d=6.16516e-46 t=255488
chu pai 	出牌	c=1 d=3.6748e-47 t=255488
chu qi 	初七	c=5 d=6.03847e-26 t=255488
chu qi bu yi 	出其不意	c=1 d=0 t=255488
chu qian 	出錢	c=2 d=7.44785e-05 t=255488
chu qu 	出去	c=73 d=0.119983 t=255488
chu qu wan 	出去玩	c=0 d=6.76838e-292 t=255488
chu ru 	出入	c=9 d=0.0232837 t=255488
chu ru jing 	出入境	c=2 d=0.0470361 t=255488
chu shan 	出山	c=1 d=1.43779e-154 t=255488
chu shen 	初審	c=1 d=1.52105e-228 t=255488
chu sheng 	出生	c=3 d=1.22937e-47 t=255488
chu sheng di 	出生地	c=1 d=1.67747e-115 t=255488
chu shi 	初始	c=8 d=3.14341e-33 t=255488
chu shi hua 	初始化	c=81 d=0.137698 t=255488
chu shou 	出售	c=4 d=1.05849e-252 t=255488
chu shou 	出手	c=3 d=0.00104368 t=255488
chu tian 	楚天	c=1 d=5.35808e-13 t=255488
chu tu 	出圖	c=1 d=6.52167e-322 t=255488
chu wai 	除外	c=1 d=0 t=255488
chu wan 	出完	c=4 d=4.85397e-27 t=255488
chu wen 	初吻	c=1 d=2.39709e-50 t=255488
chu wen ti 	出問題	c=4 d=8.11143e-156 t=255488
chu xia 	廚下	c=1 d=2.20822e-202 t=255488
chu xian 	出現	c=18 d=1.66926e-28 t=255488
chu xian 	出險	c=1 d=2.60576e-32 t=255488
chu xing 	出行	c=4 d=9.54705e-132 t=255488
chu xu 	儲蓄	c=1 d=8.11341e-247 t=255488
chu xu ka 	儲蓄卡	c=2 d=9.06379e-21 t=255488
chu ya 	出牙	c=2 d=0 t=255488
chu yi 	除以	c=1 d=0.000194515 t=255488
chu yi tao 	出一套	c=1 d=0 t=255488
chu yu 	初語	c=1 d=3.61651e-06 t=255488
chu yu 	處於	c=1 d=4.29186e-314 t=255488
chu zhan 	出戰	c=4 d=5.05453e-07 t=255488
chu zhong 	初中	c=4 d=0.136014 t=255488
chu zu 	出租	c=12 d=2.78947e-10 t=255488
chu zu che 	出租車	c=4 d=3.48366e-46 t=255488
chuan 	串	c=11 d=0.0374406 t=255488
chuan 	傳	c=55 d=4.01133e-07 t=255488
chuan 	喘	c=0 d=0 t=255488
chuan 	穿	c=27 d=0.00680573 t=255488
chuan 	船	c=2 d=1.62246e-17 t=255488
chuan bo 	傳播	c=1 d=3.65514e-219 t=255488
chuan bu liao 	喘不了	c=1 d=0 t=255488
chuan cai 	川菜	c=0 d=8.07065e-39 t=255488
chuan chang 	船長	c=1 d=9.7614e-11 t=255488
chuan ci 	穿刺	c=1 d=0.00571306 t=255488
chuan cuo 	傳錯	c=1 d=3.00013e-278 t=255488
chuan da 	傳達	c=1 d=0 t=255488
chuan dao 	傳到	c=3 d=1.04255e-49 t=255488
chuan di 	傳遞	c=18 d=4.77068e-06 t=255488
chuan di xing 	傳遞性	c=1 d=3.52399e-54 t=255488
chuan dian 	穿點	c=1 d=1.67677e-22 t=255488
chuan guo lai 	傳過來	c=1 d=4.15638e-319 t=255488
chuan guo qu 	穿過去	c=1 d=9.9091e-305 t=255488
chuan hua 	傳話	c=2 d=2.94198e-48 t=255488
chuan jian 	船艦	c=4 d=0 t=255488
chuan lai 	傳來	c=2 d=3.13957e-48 t=255488
chuan lan hu 	穿藍湖	c=2 d=0 t=255488
chuan le 	穿了	c=0 d=0 t=255488
chuan lian 	串聯	c=2 d=1.92752e-132 t=255488
chuan mei 	傳媒	c=5 d=0.0275486 t=255488
chuan men 	串門	c=1 d=2.95899e-292 t=255488
chuan qu 	傳去	c=2 d=3.1553e-48 t=255488
chuan ru 	傳入	c=7 d=0.00029718 t=255488
chuan shang 	穿上	c=5 d=6.41152e-07 t=255488
chuan shang qu 	傳上去	c=3 d=5.06174e-167 t=255488
chuan shu 	傳輸	c=15 d=0.00125136 t=255488
chuan shu ceng 	傳輸層	c=1 d=1 t=252823
chuan shuo 	傳說	c=1 d=7.71509e-243 t=255488
chuan song 	傳送	c=3 d=1.45928e-299 t=255488
chuan tong 	傳統	c=2 d=6.15907e-05 t=255488
chuan tou 	穿透	c=16 d=1.14294e-13 t=255488
chuan tu 	傳圖	c=1 d=0 t=255488
chuan xia 	傳下	c=1 d=3.04325e-05 t=255488
chuan xiao 	傳銷	c=2 d=0.273898 t=255488
chuan xing 	串行	c=2 d=5.15609e-149 t=255488
chuan yue 	穿越	c=4 d=4.72268e-35 t=255488
chuan zhe 	穿着	c=1 d=1.51881e-05 t=255488
chuan zhen 	穿針	c=1 d=4.33491e-20 t=255488
chuan zhi 	傳值	c=3 d=5.31273e-60 t=255488
chuan zhi bo ke 	傳直播課	c=1 d=7.33649e-63 t=255488
chuang 	創	c=5 d=0.00261214 t=255488
chuang 	牀	c=15 d=5.85181e-18 t=255488
chuang dan 	牀單	c=1 d=1.68518e-22 t=255488
chuang dian 	牀墊	c=18 d=2.22599e-21 t=255488
chuang hu 	窗戶	c=8 d=2.86798e-13 t=255488
chuang jian 	創建	c=216 d=7.55619 t=255488
chuang jian a me me 	創建啊麼麼	c=1 d=1 t=251865
chuang jian ren 	創建人	c=2 d=3.82623e-169 t=255488
chuang jian ri qi 	創建日期	c=1 d=0 t=255488
chuang jian zhe 	創建者	c=1 d=5.48589e-55 t=255488
chuang jiang 	闖將	c=1 d=1.69219e-12 t=255488
chuang kou 	窗口	c=23 d=3.91586e-05 t=255488
chuang lian 	窗簾	c=3 d=5.83107e-67 t=255488
chuang sha 	窗紗	c=2 d=1.59231e-178 t=255488
chuang shang 	牀上	c=2 d=8.2637e-22 t=255488
chuang shi ren 	創始人	c=1 d=2.41796e-05 t=255488
chuang tou gui 	牀頭櫃	c=1 d=2.61199e-207 t=255488
chuang wai 	窗外	c=1 d=1.43182e-17 t=255488
chuang xin 	創新	c=1 d=2.80098e-29 t=255488
chuang ye 	創業	c=4 d=1.49696e-11 t=255488
chuang yi 	創意	c=2 d=4.45085e-07 t=255488
chuang zao 	創造	c=1 d=1 t=254333
chuang zhi 	创智	c=182 d=4.66365e-27 t=255488
chuang zi 	窗子	c=2 d=6.02568e-159 t=255488
chui 	吹	c=1 d=1.35286e-173 t=255488
chui chui 	吹吹	c=1 d=6.24876e-28 t=255488
chui zhi 	垂直	c=9 d=2.06768e-09 t=255488
chun 	春	c=1 d=1.85729e-19 t=255488
chun 	純	c=5 d=3.09776e-08 t=255488
chun 	脣	c=1 d=4.37763e-194 t=255488
chun bai 	純白	c=1 d=8.43331e-202 t=255488
chun bai se 	純白色	c=1 d=6.73461e-320 t=255488
chun bing 	春餅	c=2 d=0 t=255488
chun feng 	春風	c=3 d=0.00366107 t=255488
chun ji shu 	純技術	c=1 d=6.68205e-52 t=255488
chun jie 	春節	c=1 d=1.05871e-171 t=255488
chun jing 	純淨	c=4 d=0.00273944 t=255488
chun kun 	春困	c=1 d=0 t=255488
chun lv 	純鋁	c=1 d=1.37014e-234 t=255488
chun nai 	純奶	c=1 d=0 t=255488
chun wan 	春晚	c=1 d=1.27629e-164 t=255488
chun wen ben 	純文本	c=1 d=1.9438e-319 t=255488
chun yu 	春雨	c=2 d=1.10758e-55 t=255488
chuo 	戳	c=1 d=6.72775e-279 t=255488
chuo shi 	戳事	c=1 d=0 t=255488
ci 	次	c=25 d=0.0243554 t=255488
ci 	此	c=46 d=0.00959023 t=255488
ci 	瓷	c=3 d=3.00819e-192 t=255488
ci 	詞	c=1 d=5.6773e-223 t=255488
ci 	辭	c=1 d=2.6458e-270 t=255488
ci ba 	詞霸	c=1 d=4.77439e-09 t=255488
ci chu 	此處	c=1 d=0.0342181 t=255488
ci dian 	詞典	c=7 d=0.291047 t=255488
ci gen 	詞根	c=1 d=1 t=254259
ci hou 	伺候	c=2 d=5.13966e-229 t=255488
ci hui 	詞彙	c=1 d=4.70911e-141 t=255488
ci ji 	刺激	c=1 d=2.49136e-92 t=255488
ci ke 	此刻	c=1 d=0.0250972 t=255488
ci ku 	詞庫	c=5 d=1 t=255488
ci li 	磁力	c=51 d=0.402179 t=255488
ci li mao 	磁力貓	c=2 d=0 t=255488
ci li sou suo 	磁力搜索	c=1 d=0.00960953 t=255488
ci pan 	磁盤	c=8 d=0.000509541 t=255488
ci qi 	磁器	c=1 d=4.15998e-06 t=255488
ci shi 	此時	c=7 d=4.89359e-05 t=255488
ci shu 	次數	c=10 d=0.37371 t=255488
ci tui 	辭退	c=2 d=5.1916e-24 t=255488
ci wei 	刺蝟	c=1 d=8.95805e-30 t=255488
ci xi 	慈禧	c=1 d=6.70125e-262 t=255488
ci xing 	磁性	c=1 d=2.98746e-52 t=255488
ci xiu 	刺繡	c=1 d=4.27038e-20 t=255488
ci yuan 	詞源	c=1 d=0 t=255488
ci zhi 	辭職	c=1 d=1.62645e-134 t=255488
ci zhuan 	瓷磚	c=11 d=3.25873e-192 t=255488
ci zhui 	詞綴	c=1 d=1 t=254260
ci zu 	詞組	c=1 d=4.05317e-141 t=255488
cong 	從	c=268 d=1.02335 t=255488
cong 	蔥	c=6 d=1.71112e-286 t=255488
cong cong 	匆匆	c=1 d=0 t=255488
cong er 	從而	c=2 d=4.49482e-05 t=255488
cong ku 	從庫	c=4 d=0.00360891 t=255488
cong mei 	從沒	c=1 d=5.18475e-126 t=255488
cong na er 	從哪兒	c=2 d=5.20061e-15 t=255488
cong na li 	從哪裏	c=1 d=1.13821e-23 t=255488
cong qian 	從前	c=1 d=0.000437252 t=255488
cong shang dao xia 	從上到下	c=1 d=1.44267e-321 t=255488
cong shi 	從事	c=1 d=4.78547e-95 t=255488
cong tou 	從頭	c=1 d=1 t=252919
cong xin 	從新	c=2 d=4.16494e-20 t=255488
cong you 	從右	c=1 d=5.58037e-50 t=255488
cong you bing 	蔥油餅	c=1 d=0 t=255488
cong zhe 	從這	c=1 d=0.00018046 t=255488
cou dan 	湊單	c=3 d=1.0747e-24 t=255488
cou ge 	湊個	c=1 d=0 t=255488
cou he 	湊合	c=9 d=9.59615e-16 t=255488
cou re nao 	湊熱鬧	c=1 d=9.42375e-38 t=255488
cou suo 	湊鎖	c=1 d=5.43796e-40 t=255488
cu 	粗	c=2 d=0 t=255488
cu 	醋	c=1 d=4.12805e-268 t=255488
cu ti 	粗體	c=2 d=0 t=255488
cu xiao 	促銷	c=1 d=2.52801e-293 t=255488
cuan gai 	篡改	c=3 d=1.06397e-53 t=255488
cui 	催	c=10 d=1.08215e-17 t=255488
cui 	崔	c=1 d=0 t=255488
cui 	脆	c=2 d=0.017163 t=255488
cui guo 	催過	c=1 d=5.9277e-172 t=255488
cui ru xian 	崔汝賢	c=1 d=0.0513033 t=255488
cui ta 	催他	c=1 d=3.46058e-105 t=255488
cui xia 	催下	c=2 d=7.55759e-30 t=255488
cui xin tong 	崔欣童	c=2 d=0 t=255488
cui xu 	崔絮	c=7 d=6.51707e-52 t=255488
cun 	存	c=16 d=0.00550842 t=255488
cun 	寸	c=8 d=0.0308074 t=255488
cun 	村	c=11 d=0.151829 t=255488
cun bu liao 	存不了	c=1 d=0 t=255488
cun chu 	存儲	c=71 d=1.44395 t=255488
cun chu ceng 	存儲層	c=2 d=0 t=255488
cun chu zai 	存儲在	c=1 d=0 t=255488
cun fang 	存放	c=10 d=0.0464212 t=255488
cun huo 	存活	c=1 d=2.07223e-307 t=255488
cun li 	村裏	c=5 d=3.01127e-32 t=255488
cun liang 	存量	c=2 d=1.77112e-254 t=255488
cun wei hui 	村委會	c=1 d=0 t=255488
cun zai 	存在	c=95 d=0.0109437 t=255488
cun zhe 	存摺	c=1 d=6.66366e-49 t=255488
cun zi 	村子	c=1 d=0 t=255488
cuo 	錯	c=81 d=0.0466538 t=255488
cuo bu liao 	錯不了	c=3 d=0.0417941 t=255488
cuo de 	錯的	c=1 d=2.64612e-07 t=255488
cuo guo 	錯過	c=4 d=0.00491728 t=255488
cuo guo le 	錯過了	c=1 d=0 t=255488
cuo hang 	錯行	c=1 d=1.85958e-151 t=255488
cuo kai 	錯開	c=1 d=1.43272e-230 t=255488
cuo le 	錯了	c=9 d=0.00042433 t=255488
cuo luan 	錯亂	c=5 d=2.36839e-26 t=255488
cuo sha 	錯殺	c=1 d=3.913e-321 t=255488
cuo shi 	措施	c=4 d=7.28253e-35 t=255488
cuo wei 	錯位	c=3 d=1.02529e-176 t=255488
cuo wu 	錯誤	c=243 d=4.06368 t=255488
cuo wu ma 	錯誤碼	c=9 d=0.0640938 t=255488
da 	大	c=223 d=0.544472 t=255488
da 	打	c=182 d=0.633434 t=255488
da 	搭	c=2 d=1.05052e-21 t=255488
da 	答	c=1 d=0 t=255488
da 	達	c=4 d=0.00132016 t=255488
da an 	答案	c=2 d=9.97799e-122 t=255488
da ba 	大巴	c=1 d=4.94066e-324 t=255488
da ban 	大班	c=3 d=1.16788e-296 t=255488
da bao 	大寶	c=1 d=1.95101e-245 t=255488
da bao 	打包	c=36 d=6.00905e-09 t=255488
da bian 	大便	c=1 d=5.45221e-12 t=255488
da biao 	達標	c=1 d=0 t=255488
da biao ti 	大標題	c=3 d=4.94066e-324 t=255488
da bin 	大斌	c=1 d=0.084163 t=255488
da bing 	大病	c=4 d=0.00995182 t=255488
da bu dao 	達不到	c=2 d=7.10399e-184 t=255488
da bu fen 	大部分	c=24 d=0.34001 t=255488
da bu guo lai 	大不過來	c=1 d=3.92526e-293 t=255488
da bu kai 	打不開	c=8 d=1.23519e-36 t=255488
da bu tong 	打不通	c=1 d=9.75516e-121 t=255488
da can 	大餐	c=1 d=3.94839e-127 t=255488
da chang 	大廠	c=1 d=3.68736e-234 t=255488
da chang jin 	大長今	c=1 d=2.949e-76 t=255488
da che 	打車	c=13 d=1.8005e-36 t=255488
da cheng shi 	大城市	c=1 d=0 t=255488
da cong 	大蔥	c=1 d=1.04817e-24 t=255488
da cun 	大村	c=1 d=0 t=255488
da cuo 	打錯	c=1 d=1.19535e-12 t=255488
da cuo le 	打錯了	c=1 d=1.20134e-11 t=255488
da da 	噠噠	c=1 d=0.000345679 t=255488
da da 	大大	c=2 d=9.66099e-07 t=255488
da da 	打打	c=1 d=1.35014e-120 t=255488
da dan 	大單	c=1 d=2.21145e-131 t=255488
da dao 	大道	c=26 d=0.0209629 t=255488
da dao 	達到	c=4 d=1.78137e-28 t=255488
da de 	大的	c=1 d=1 t=252609
da deng 	大燈	c=1 d=1.76342e-144 t=255488
da di 	大地	c=2 d=0.997981 t=255488
da di 	打底	c=1 d=4.86654e-28 t=255488
da dian 	大點	c=4 d=1.38903e-13 t=255488
da dian hua 	打電話	c=26 d=0.364732 t=255488
da dou 	大豆	c=1 d=1.37517e-42 t=255488
da du cha 	大督查	c=1 d=0 t=255488
da du zi 	大肚子	c=1 d=0 t=255488
da duo 	大多	c=1 d=5.54202e-204 t=255488
da duo shu 	大多數	c=1 d=9.86118e-13 t=255488
da e 	大額	c=1 d=6.82749e-70 t=255488
da fa 	大法	c=1 d=3.3138e-07 t=255488
da fen 	大分	c=4 d=9.45363e-32 t=255488
da feng 	大風	c=1 d=0 t=255488
da feng xi 	打縫隙	c=1 d=0 t=255488
da gai 	大概	c=26 d=0.0285814 t=255488
da gai ji dian 	大概幾點	c=1 d=0 t=255488
da gai lv 	打概率	c=1 d=0 t=255488
da ge 	大哥	c=18 d=3.20418e-23 t=255488
da ge 	打個	c=18 d=0.0108347 t=255488
da ge che 	打個車	c=1 d=1.21213e-28 t=255488
da ge da 	大哥大	c=2 d=1.2352e-132 t=255488
da gong 	打工	c=3 d=3.39469e-26 t=255488
da gong guan 	大公館	c=43 d=0.000520875 t=255488
da gong lv 	大功率	c=1 d=1.36048e-239 t=255488
da gong si 	大公司	c=2 d=2.14783e-23 t=255488
da guan 	大官	c=1 d=4.51153e-78 t=255488
da guan si 	打官司	c=1 d=3.85258e-44 t=255488
da guang chang 	大廣場	c=1 d=1.50744e-93 t=255488
da guo lai 	打過來	c=3 d=3.43643e-199 t=255488
da guo qu 	打過去	c=4 d=1.87143e-20 t=255488
da hai 	大海	c=1 d=0.172045 t=255488
da hai lao zhen 	大海撈針	c=1 d=0.179066 t=255488
da hao 	大號	c=1 d=0 t=255488
da hong 	大紅	c=1 d=7.76765e-29 t=255488
da hong zui 	大紅嘴	c=1 d=5.82989e-94 t=255488
da hu 	大湖	c=2 d=0.000829241 t=255488
da hu fa 	大護法	c=2 d=6.5846e-48 t=255488
da hua 	大華	c=5 d=1.96017e-65 t=255488
da huang 	大黃	c=0 d=0 t=255488
da huang zhuang 	大黃莊	c=1 d=0 t=255488
da huo 	打火	c=1 d=7.43495e-14 t=255488
da ji 	打擊	c=1 d=1.79483e-234 t=255488
da ji yuan 	大紀元	c=1 d=0.00565622 t=255488
da jia 	大家	c=36 d=1.4962e-05 t=255488
da jia 	打架	c=1 d=7.53277e-197 t=255488
da jia hao 	大家好	c=16 d=3.83951e-19 t=255488
da jia ye jiu 	大家也就	c=1 d=2.25294e-320 t=255488
da jian 	大件	c=7 d=8.41038e-23 t=255488
da jian 	搭建	c=10 d=5.49653e-19 t=255488
da jiang 	大獎	c=1 d=0 t=255488
da jiao dao 	打交道	c=3 d=2.96371e-252 t=255488
da jiao tang 	大教堂	c=1 d=1.11257e-49 t=255488
da jie 	大街	c=0 d=0 t=255488
da jin lai 	打進來	c=1 d=0 t=255488
da jin qu 	搭進去	c=1 d=0 t=255488
da ka 	打卡	c=13 d=0.0123039 t=255488
da ka bu 	打卡不	c=1 d=0 t=255488
da kai 	打開	c=88 d=1.04678 t=255488
da kai le 	打開了	c=1 d=0 t=255488
da ke hu 	大客戶	c=1 d=1.90121e-88 t=255488
da kuai 	大塊	c=1 d=3.46024e-192 t=255488
da kuan 	大款	c=1 d=7.86176e-53 t=255488
da kuan 	打款	c=195 d=1.69161e-08 t=255488
da kuan du 	打寬度	c=1 d=0 t=255488
da lao 	大佬	c=6 d=1.57477e-37 t=255488
da lao ban 	大老闆	c=1 d=3.03746e-12 t=255488
da lei 	大雷	c=1 d=3.42392e-68 t=255488
da lei 	打雷	c=1 d=5.1234e-133 t=255488
da li 	大力	c=1 d=1.56666e-17 t=255488
da li 	大理	c=1 d=1.82777e-07 t=255488
da li shi 	大理石	c=3 d=3.38854e-212 t=255488
da lian 	大連	c=23 d=0.00814786 t=255488
da lian 	打臉	c=1 d=0.0939493 t=255488
da lian hao 	大連好	c=1 d=2.61428e-41 t=255488
da liang 	大量	c=6 d=6.007e-05 t=255488
da ling shou 	大零售	c=5 d=7.07767e-111 t=255488
da liu liang 	大流量	c=2 d=1.13204e-106 t=255488
da lou 	大樓	c=2 d=0 t=255488
da lu 	大陸	c=1 d=0 t=255488
da ma 	大媽	c=1 d=3.1957e-81 t=255488
da ma 	大麻	c=1 d=7.79862e-17 t=255488
da ma 	打碼	c=2 d=4.00504e-30 t=255488
da mei le 	達美樂	c=1 d=0 t=255488
da men 	大門	c=1 d=0 t=255488
da mi 	大米	c=2 d=1.04202e-43 t=255488
da ming 	大明	c=7 d=2.56106e-09 t=255488
da ming gong 	大明宮	c=1 d=3.65026e-27 t=255488
